Znumber,smiles,vina_score,unidock_score_detail
Z1201618106,CN1C(=O)OC(C)(C)C1=O,-4.706,-4.671
Z99599698,CCC1(C)CC(=O)NC(=O)C1,-5.527,-5.593
Z1222399234,N[C@@H](CSCC(=O)O)C(=O)O,-4.426,-4.095
Z1089994842,CN=C(NC)NCc1ccccc1,-5.997,-5.965
Z56871821,Nc1c2ccccc2nc2ccccc12,-8.06,-8.064
Z56347248,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-6.928,-6.949
Z1695772815,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-7.715,-7.498
Z1954804578,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,-7.531,-7.894
Z203045352,O=S(=O)(O)c1ccc2nc(-c3ccccc3)[nH]c2c1,-8.216,-8.224
Z1530532755,O=C(CCCCCCC(=O)Nc1ccccc1)NO,-7.181,-6.918
Z104474964,CCCCCCCCCCCCCCCCCC(=O)O,-5.84,-5.608
Z2210694608,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,-12.565,-70.536
Z1514087129,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,-7.48,-7.362
Z1544404943,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,-8.787,-8.777
Z2037279473,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,-12.513,-9.259
Z1541759502,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,-7.378,-7.53
Z1614451557,Cc1nnc(C(C)C)n1C1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,-8.607,-8.118
Z1248763315,O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,-8.054,-7.413
Z1954805523,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,-6.292,-6.561
