Znumber,smiles
Z1201618106,CN1C(=O)OC(C)(C)C1=O
Z99599698,CCC1(C)CC(=O)NC(=O)C1
Z1222399234,N[C@@H](CSCC(=O)O)C(=O)O
Z1089994842,CN=C(NC)NCc1ccccc1
Z56871821,Nc1c2ccccc2nc2ccccc12
Z56347248,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
Z1695772815,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
Z1954804578,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
Z203045352,O=S(=O)(O)c1ccc2nc(-c3ccccc3)[nH]c2c1
Z1530532755,O=C(CCCCCCC(=O)Nc1ccccc1)NO
Z104474964,CCCCCCCCCCCCCCCCCC(=O)O
Z2210694608,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
Z1514087129,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
Z1544404943,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
Z2037279473,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
Z1541759502,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
Z1614451557,Cc1nnc(C(C)C)n1C1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1
Z1248763315,O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1
Z1954805523,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
Z1889837352,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1
Z2185279095,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC
Z1541759909,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
Z2588038907,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
Z3207130668,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
Z1515385076,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
Z2044782386,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
Z2301684749,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1
Z2312950560,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
Z104476418,OCc1ccccc1
Z57183224,O=c1[nH]c2cc(Cl)ccc2o1
Z1255415481,C[N+](C)(C)CCOC(N)=O
Z2050038784,C[C@H](N)[C@H](O)c1cccc(O)c1
Z1198150037,CN1CCC[C@H]1c1cccnc1
Z223042524,NS(=O)(=O)Cc1noc2ccccc12
Z1255488813,Cc1ccc(-c2ccc(C)cn2)nc1
Z1617901127,Cc1cccc([C@H](C)c2c[nH]cn2)c1C
Z90121066,CC(C)NCC(O)COc1cccc2ccccc12
Z1546616194,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O
