pdb_id,karma_score,karma_score_ff,karma_score_aligned
Z62882165,33.752159118652344,32.419647216796875,31.49542808532715
Z18813202,32.689388275146484,33.51083755493164,22.01749038696289
Z1227522997,41.41168212890625,35.9085693359375,36.22310256958008
Z296452432,36.28480911254883,35.71060562133789,35.84447479248047
Z68610114,30.100841522216797,28.16035270690918,28.710607528686523
Z239539964,47.140647888183594,44.89116668701172,42.60832977294922
Z33270206,29.264892578125,28.85143280029297,26.43930435180664
Z204342158,40.90518569946289,35.79230880737305,36.091007232666016
Z27665429,34.052574157714844,28.295068740844727,31.536733627319336
Z1131322534,28.09735107421875,24.540008544921875,25.884244918823242
Z443982930,45.39596176147461,40.398529052734375,29.004535675048828
Z68640047,30.43069076538086,30.003034591674805,26.045745849609375
Z905437510,26.917980194091797,23.155839920043945,20.65532112121582
Z19982226,34.82316589355469,30.300025939941406,29.083227157592773
Z839413590,33.95172882080078,27.91053009033203,25.195768356323242
Z92150117,28.71125030517578,27.035051345825195,27.390634536743164
Z1323958075,41.906944274902344,35.69961929321289,40.812538146972656
Z30819627,34.4521484375,29.861995697021484,29.698244094848633
Z872215650,34.552249908447266,31.951082229614258,30.176759719848633
Z29076846,30.734203338623047,28.96143341064453,28.708534240722656
Z295883036,35.150238037109375,32.14220428466797,32.395992279052734
Z1090594860,37.133758544921875,35.06668472290039,30.96451187133789
Z1139562831,28.396028518676758,24.197542190551758,23.738386154174805
Z29076322,30.48790168762207,27.209775924682617,29.670921325683594
Z29076544,29.508846282958984,28.93695640563965,28.834074020385742
Z19546723,29.56205177307129,25.336217880249023,25.574790954589844
Z1021669654,23.208011627197266,20.70846939086914,21.633756637573242
Z825777164,42.868167877197266,38.37446975708008,42.64199447631836
Z19896185,34.734676361083984,30.403785705566406,25.737415313720703
Z99097277,35.17729187011719,32.8554801940918,29.4267520904541
Z1119644111,31.485090255737305,26.013397216796875,26.149917602539062
Z1139269112,27.435535430908203,20.42841339111328,22.831554412841797
Z17093922,31.940887451171875,27.597803115844727,25.407955169677734
Z30508551,29.792081832885742,23.42922592163086,22.611038208007812
Z16254748,33.62595748901367,28.976842880249023,30.162704467773438
Z647588818,36.02591323852539,32.219032287597656,27.541244506835938
Z23291726,29.90885353088379,28.284421920776367,32.454254150390625
Z1038829842,29.12134552001953,22.760072708129883,22.227935791015625
Z29083339,25.810400009155273,25.87169075012207,25.875688552856445
Z228469140,25.492008209228516,25.088878631591797,20.77691650390625
Z29076459,28.650653839111328,29.2219295501709,30.93500518798828
Z64887321,30.661489486694336,30.795148849487305,24.080415725708008
Z1082320758,30.526546478271484,28.086240768432617,25.722766876220703
Z320075170,25.999425888061523,23.706174850463867,21.92013168334961
Z236079428,38.19020080566406,34.72740173339844,29.27219581604004
Z1798299891,29.657791137695312,28.785024642944336,29.729190826416016
Z114950222,33.77015686035156,32.24778747558594,27.306943893432617
Z30618433,30.739906311035156,23.600467681884766,18.835769653320312
Z373317194,41.68411636352539,39.807987213134766,24.603382110595703
Z16427126,37.25796127319336,38.42452621459961,36.65222930908203
Z287022862,35.323509216308594,35.81682205200195,34.021095275878906
Z913701472,25.026750564575195,23.019437789916992,22.460796356201172
Z217430364,33.24089050292969,31.44765853881836,30.037490844726562
Z98713016,32.77002716064453,31.68073081970215,31.17971420288086
Z18672879,36.610107421875,33.0523681640625,29.731733322143555
Z31258130,32.05866622924805,36.914119720458984,25.404611587524414
Z434613616,30.35150146484375,30.29875946044922,29.76325035095215
Z19512617,34.63983917236328,30.083152770996094,31.504573822021484
Z99004386,30.300344467163086,29.704418182373047,29.919958114624023
Z24778709,35.16145706176758,24.660160064697266,28.14899444580078
Z954394146,21.60127067565918,20.83397102355957,17.04339027404785
Z204341226,42.00540542602539,36.954437255859375,32.0737190246582
Z228153102,40.14739990234375,36.58126449584961,35.5728759765625
Z395240888,34.89289474487305,32.789031982421875,25.827281951904297
Z18519048,23.46851921081543,16.81071662902832,18.75335693359375
Z73364722,36.27191162109375,32.61628341674805,35.19487380981445
Z224256316,35.7503776550293,37.62678909301758,32.42790985107422
Z65670708,32.215171813964844,33.622886657714844,30.115022659301758
Z87685100,30.653793334960938,24.33051109313965,25.873788833618164
Z193271352,39.80607223510742,36.735633850097656,35.08636474609375
Z17289317,29.525146484375,26.859825134277344,27.19198226928711
Z381174904,34.07209777832031,31.76757049560547,34.40791320800781
