Znumber,rank_id,confidence,center_distance,file,mol_pred_loaded,sanitization,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,all_pass
Z105489474,6,0.14,1.1313139312275249,results_ipab/Z105489474/rank6_confidence0.14.sdf,1,1,1,1,1,1,1,1,1,1
Z105489474,7,0.13,1.005438183533545,results_ipab/Z105489474/rank7_confidence0.13.sdf,1,1,1,1,1,1,1,1,1,1
Z105489474,8,0.1,1.0324521398782802,results_ipab/Z105489474/rank8_confidence0.10.sdf,1,1,1,1,1,1,1,1,1,1
Z105489474,9,0.03,1.0821995741629356,results_ipab/Z105489474/rank9_confidence0.03.sdf,1,1,1,1,1,1,1,1,1,1
Z106665716,10,0.75,1.1736409759823476,results_ipab/Z106665716/rank10_confidence-0.75.sdf,1,1,1,1,1,1,1,1,1,1
Z106665716,1,0.36,1.1033003212016352,results_ipab/Z106665716/rank1_confidence-0.36.sdf,1,1,1,1,1,1,1,1,1,1
Z106665716,2,0.49,1.1860039442238215,results_ipab/Z106665716/rank2_confidence-0.49.sdf,1,1,1,1,1,1,1,1,1,1
Z106665716,3,0.49,1.0176725429727254,results_ipab/Z106665716/rank3_confidence-0.49.sdf,1,1,1,1,1,1,1,1,0,0
Z106665716,4,0.5,1.185356979681644,results_ipab/Z106665716/rank4_confidence-0.50.sdf,1,1,1,1,1,1,1,1,1,1
Z106665716,5,0.53,1.0154589582875642,results_ipab/Z106665716/rank5_confidence-0.53.sdf,1,1,1,1,1,1,1,1,1,1
Z106665716,6,0.53,0.9743040797439104,results_ipab/Z106665716/rank6_confidence-0.53.sdf,1,1,1,1,1,1,1,1,1,1
Z106665716,7,0.54,1.0866941477292824,results_ipab/Z106665716/rank7_confidence-0.54.sdf,1,1,1,1,1,1,1,1,1,1
Z106665716,8,0.59,1.085147540197605,results_ipab/Z106665716/rank8_confidence-0.59.sdf,1,1,1,1,1,1,1,1,1,1
Z106665716,9,0.67,1.1478403512657964,results_ipab/Z106665716/rank9_confidence-0.67.sdf,1,1,1,1,1,1,1,1,1,1
Z1067269008,10,1.16,2.603929597629838,results_ipab/Z1067269008/rank10_confidence-1.16.sdf,1,1,1,1,1,1,1,1,1,1
Z1067269008,1,0.19,2.531190782102886,results_ipab/Z1067269008/rank1_confidence0.19.sdf,1,1,1,1,1,1,1,1,1,1
Z1067269008,2,0.05,1.6808746093086246,results_ipab/Z1067269008/rank2_confidence-0.05.sdf,1,1,1,1,1,1,1,1,1,1
Z1067269008,3,0.08,1.9696897235774415,results_ipab/Z1067269008/rank3_confidence-0.08.sdf,1,1,1,1,1,1,1,1,1,1
Z1067269008,4,0.09,3.4432008319276126,results_ipab/Z1067269008/rank4_confidence-0.09.sdf,1,1,1,1,1,1,1,1,1,1
Z1067269008,5,0.23,1.4498014201793772,results_ipab/Z1067269008/rank5_confidence-0.23.sdf,1,1,1,1,1,1,1,1,1,1
Z1067269008,6,0.99,4.843397074193834,results_ipab/Z1067269008/rank6_confidence-0.99.sdf,1,1,1,1,1,1,1,1,1,1
Z1067269008,7,1.06,1.579310799738977,results_ipab/Z1067269008/rank7_confidence-1.06.sdf,1,1,1,1,1,1,1,1,1,1
Z1067269008,8,1.1,4.800127936632316,results_ipab/Z1067269008/rank8_confidence-1.10.sdf,1,1,1,1,1,1,1,1,1,1
Z1067269008,9,1.12,3.84837026856026,results_ipab/Z1067269008/rank9_confidence-1.12.sdf,1,1,1,1,1,1,1,1,1,1
Z1070147916,10,3.18,2.8281073231119644,results_ipab/Z1070147916/rank10_confidence-3.18.sdf,1,1,1,1,1,1,1,1,1,1
Z1070147916,1,0.33,0.7776574371708488,results_ipab/Z1070147916/rank1_confidence-0.33.sdf,1,1,1,1,1,1,1,1,1,1
Z1070147916,2,0.34,0.9001240517488093,results_ipab/Z1070147916/rank2_confidence-0.34.sdf,1,1,1,1,1,1,1,1,1,1
Z1070147916,3,0.47,1.086881210620856,results_ipab/Z1070147916/rank3_confidence-0.47.sdf,1,1,1,1,1,1,1,1,1,1
Z1070147916,4,0.52,0.903555350582298,results_ipab/Z1070147916/rank4_confidence-0.52.sdf,1,1,1,1,1,1,1,1,1,1
Z1070147916,5,1.16,1.102584806504869,results_ipab/Z1070147916/rank5_confidence-1.16.sdf,1,1,1,1,1,1,1,1,1,1
Z1070147916,6,1.89,1.0293748855891276,results_ipab/Z1070147916/rank6_confidence-1.89.sdf,1,1,1,1,1,1,1,1,1,1
Z1070147916,7,2.06,4.030844011991858,results_ipab/Z1070147916/rank7_confidence-2.06.sdf,1,1,1,1,1,1,1,1,1,1
Z1070147916,8,2.25,4.267838850922279,results_ipab/Z1070147916/rank8_confidence-2.25.sdf,1,1,1,1,1,1,1,1,1,1
Z1070147916,9,2.27,1.1897864832610918,results_ipab/Z1070147916/rank9_confidence-2.27.sdf,1,1,1,1,1,1,1,1,1,1
Z107319362,10,1.92,1.2986521192530256,results_ipab/Z107319362/rank10_confidence-1.92.sdf,1,1,1,1,1,1,1,1,1,1
Z107319362,1,0.35,1.327165038118678,results_ipab/Z107319362/rank1_confidence-0.35.sdf,1,1,1,1,1,1,1,1,1,1
Z107319362,2,0.52,1.4201007999832933,results_ipab/Z107319362/rank2_confidence-0.52.sdf,1,1,1,1,1,1,1,1,1,1
Z107319362,3,0.74,1.6017162416120634,results_ipab/Z107319362/rank3_confidence-0.74.sdf,1,1,1,1,1,1,1,1,1,1
Z107319362,4,0.92,1.3437567314010528,results_ipab/Z107319362/rank4_confidence-0.92.sdf,1,1,1,1,1,1,1,1,1,1
Z107319362,5,0.96,1.2332318815880343,results_ipab/Z107319362/rank5_confidence-0.96.sdf,1,1,1,1,1,1,1,1,1,1
Z107319362,6,1.05,1.2499270829378275,results_ipab/Z107319362/rank6_confidence-1.05.sdf,1,1,1,1,1,1,1,1,1,1
Z107319362,7,1.23,1.4429060678098269,results_ipab/Z107319362/rank7_confidence-1.23.sdf,1,1,1,1,1,1,1,1,1,1
Z107319362,8,1.26,1.0788222493023816,results_ipab/Z107319362/rank8_confidence-1.26.sdf,1,1,1,1,1,1,1,1,1,1
Z107319362,9,1.58,1.1577082762021191,results_ipab/Z107319362/rank9_confidence-1.58.sdf,1,1,1,1,1,1,1,1,1,1
Z1081090404,10,1.55,3.4683593802714774,results_ipab/Z1081090404/rank10_confidence-1.55.sdf,1,1,1,1,1,1,1,1,1,1
Z1081090404,1,0.35,1.3182818806886023,results_ipab/Z1081090404/rank1_confidence-0.35.sdf,1,1,1,1,1,1,1,1,1,1
Z1081090404,2,0.39,1.6239879804215172,results_ipab/Z1081090404/rank2_confidence-0.39.sdf,1,1,1,1,1,1,1,1,1,1
Z1081090404,3,0.56,0.2202979195503159,results_ipab/Z1081090404/rank3_confidence-0.56.sdf,1,1,1,1,1,1,1,1,0,0
Z1081090404,4,0.61,2.208329469089655,results_ipab/Z1081090404/rank4_confidence-0.61.sdf,1,1,1,1,1,1,1,1,1,1
Z1081090404,5,0.62,0.6754241601214137,results_ipab/Z1081090404/rank5_confidence-0.62.sdf,1,1,1,1,1,1,1,1,0,0
Z1081090404,6,0.74,0.6445481666370917,results_ipab/Z1081090404/rank6_confidence-0.74.sdf,1,1,1,1,1,1,1,1,0,0
Z1081090404,7,0.88,1.9041131112759968,results_ipab/Z1081090404/rank7_confidence-0.88.sdf,1,1,1,1,1,1,1,1,1,1
Z1081090404,8,1.24,1.3966663584789158,results_ipab/Z1081090404/rank8_confidence-1.24.sdf,1,1,1,1,1,0,1,1,1,0
Z1081090404,9,1.29,1.267860761005101,results_ipab/Z1081090404/rank9_confidence-1.29.sdf,1,1,1,1,1,0,1,1,1,0
Z1082320758,10,4.7,5.006210616020151,results_ipab/Z1082320758/rank10_confidence-4.70.sdf,1,1,1,1,1,1,1,1,1,1
Z1082320758,1,0.65,1.0336332527463217,results_ipab/Z1082320758/rank1_confidence-0.65.sdf,1,1,1,1,1,1,1,1,1,1
Z1082320758,2,1.02,1.729963774697437,results_ipab/Z1082320758/rank2_confidence-1.02.sdf,1,1,1,1,1,1,1,1,1,1
Z1082320758,3,1.07,2.06293103843143,results_ipab/Z1082320758/rank3_confidence-1.07.sdf,1,1,1,1,1,1,1,1,1,1
Z1082320758,4,1.14,1.589819149459527,results_ipab/Z1082320758/rank4_confidence-1.14.sdf,1,1,1,1,1,1,1,1,1,1
Z1082320758,5,1.26,1.411020812667216,results_ipab/Z1082320758/rank5_confidence-1.26.sdf,1,1,1,1,1,1,1,1,1,1
Z1082320758,6,1.27,2.317346094626998,results_ipab/Z1082320758/rank6_confidence-1.27.sdf,1,1,1,1,1,1,1,1,1,1
Z1082320758,7,1.37,2.2209243772210443,results_ipab/Z1082320758/rank7_confidence-1.37.sdf,1,1,1,1,1,1,1,1,1,1
Z1082320758,8,1.96,3.0719212308131234,results_ipab/Z1082320758/rank8_confidence-1.96.sdf,1,1,1,1,1,1,1,1,1,1
Z1082320758,9,2.58,3.0769020576601083,results_ipab/Z1082320758/rank9_confidence-2.58.sdf,1,1,1,1,1,1,1,1,1,1
Z1082330728,10,1.93,2.9945709942952625,results_ipab/Z1082330728/rank10_confidence-1.93.sdf,1,1,1,1,1,1,1,1,1,1
Z1082330728,1,0.08,3.023079498022499,results_ipab/Z1082330728/rank1_confidence-0.08.sdf,1,1,1,1,1,1,1,1,1,1
Z1082330728,2,0.15,4.153925544713494,results_ipab/Z1082330728/rank2_confidence-0.15.sdf,1,1,1,1,1,1,1,1,1,1
Z1082330728,3,0.18,3.984027540599381,results_ipab/Z1082330728/rank3_confidence-0.18.sdf,1,1,1,1,1,1,1,1,1,1
Z1082330728,4,0.27,3.824141616222553,results_ipab/Z1082330728/rank4_confidence-0.27.sdf,1,1,1,1,1,1,1,1,1,1
Z1082330728,5,0.29,3.8452723566722256,results_ipab/Z1082330728/rank5_confidence-0.29.sdf,1,1,1,1,1,1,1,1,1,1
Z1082330728,6,0.34,3.939032748131814,results_ipab/Z1082330728/rank6_confidence-0.34.sdf,1,1,1,1,1,1,1,1,1,1
Z1082330728,7,0.42,3.852063918176879,results_ipab/Z1082330728/rank7_confidence-0.42.sdf,1,1,1,1,1,1,1,1,1,1
Z1082330728,8,0.45,3.564867182272476,results_ipab/Z1082330728/rank8_confidence-0.45.sdf,1,1,1,1,1,1,1,1,1,1
Z1082330728,9,0.75,3.923725338582093,results_ipab/Z1082330728/rank9_confidence-0.75.sdf,1,1,1,1,1,1,1,1,1,1
Z108748406,10,1.63,2.782328937648588,results_ipab/Z108748406/rank10_confidence-1.63.sdf,1,1,1,1,1,1,1,1,1,1
Z108748406,1,0.16,0.8788237748659331,results_ipab/Z108748406/rank1_confidence-0.16.sdf,1,1,1,1,1,1,1,1,1,1
Z108748406,2,0.16,0.5953961474424387,results_ipab/Z108748406/rank2_confidence-0.16.sdf,1,1,1,1,1,1,1,1,1,1
Z108748406,3,0.17,0.731178096729035,results_ipab/Z108748406/rank3_confidence-0.17.sdf,1,1,1,1,1,1,1,1,1,1
Z108748406,4,0.2,0.7680773795827279,results_ipab/Z108748406/rank4_confidence-0.20.sdf,1,1,1,1,1,1,1,1,1,1
Z108748406,5,0.24,0.6046741919260091,results_ipab/Z108748406/rank5_confidence-0.24.sdf,1,1,1,1,1,1,1,1,1,1
Z108748406,6,0.25,0.3931701291353731,results_ipab/Z108748406/rank6_confidence-0.25.sdf,1,1,1,1,1,1,1,1,1,1
